dimx,dimy,dimz,buffer_size,packet_size_min,packet_size_max,routing_type,selection_strategy,traffic_type,injection_rate,steady_state_temp_L0,steady_state_temp_L1,router_avg_temp_L0,router_avg_temp_L1,core_avg_temp_L0,core_avg_temp_L1,mem_avg_temp_L0,mem_avg_temp_L1,total_area,avg_power,avg_cores_power,avg_routers_power,avg_power_per_router,layer_area,area_per_core
15,2,2,6,4,8,oe_3d,thermal,random,0.04,93.87418333333333,92.57402,26.77954333333333,26.594036666666668,26.029880000000002,25.921223333333334,25.69622333333333,25.620436666666663,1.42098e+08 (um^2),9.50341e-08 (J/cycle),7.51989e-08 (J/cycle),1.98351e-08 (J/cycle),3.30586e-10 (J/cycle),7.10489e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,6,4,8,oe_3d,thermal,random,0.05,93.90549000000001,92.60792666666666,26.776973333333338,26.598966666666662,26.030383333333337,25.92289333333333,25.69634666666667,25.620866666666664,1.42098e+08 (um^2),9.52285e-08 (J/cycle),7.53296e-08 (J/cycle),1.98989e-08 (J/cycle),3.31648e-10 (J/cycle),7.10489e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,6,4,8,oe_3d,thermal,random,0.06,94.07125666666667,92.76431333333332,26.789926666666666,26.602776666666667,26.032863333333335,25.92477333333333,25.69663666666667,25.621039999999994,1.42098e+08 (um^2),9.53632e-08 (J/cycle),7.54094e-08 (J/cycle),1.99538e-08 (J/cycle),3.32563e-10 (J/cycle),7.10489e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,6,4,8,oe_3d,thermal,random,0.07,93.88590666666667,92.58408000000001,26.802463333333332,26.609219999999997,26.040886666666665,25.932390000000005,25.704866666666664,25.62798,1.42098e+08 (um^2),9.50803e-08 (J/cycle),7.52302e-08 (J/cycle),1.985e-08 (J/cycle),3.30834e-10 (J/cycle),7.10489e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,6,4,8,oe_3d,thermal,random,0.08,93.97658999999999,92.66923666666666,26.77483666666667,26.582359999999998,26.022579999999998,25.914666666666662,25.689966666666667,25.615276666666663,1.42098e+08 (um^2),9.51873e-08 (J/cycle),7.52828e-08 (J/cycle),1.99045e-08 (J/cycle),3.31742e-10 (J/cycle),7.10489e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,6,4,8,oe_3d,thermal,random,0.09,93.93860666666663,92.63836666666663,26.781229999999997,26.59912333333333,26.030959999999997,25.923589999999997,25.696659999999998,25.62113666666667,1.42098e+08 (um^2),9.52631e-08 (J/cycle),7.53395e-08 (J/cycle),1.99236e-08 (J/cycle),3.3206e-10 (J/cycle),7.10489e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,6,4,8,oe_3d,thermal,random,0.10,93.99268333333333,92.68283333333332,26.79006,26.592063333333332,26.030640000000002,25.920329999999996,25.695556666666665,25.619629999999994,1.42098e+08 (um^2),9.51576e-08 (J/cycle),7.52708e-08 (J/cycle),1.98868e-08 (J/cycle),3.31446e-10 (J/cycle),7.10489e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,8,4,8,oe_3d,thermal,random,0.01,91.52752,90.3113,26.59596,26.42954,25.973883333333337,25.87293666666666,25.679323333333333,25.60636333333333,1.42533e+08 (um^2),9.17427e-08 (J/cycle),7.33854e-08 (J/cycle),1.83572e-08 (J/cycle),3.05954e-10 (J/cycle),7.12664e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,8,4,8,oe_3d,thermal,random,0.02,101.90433333333333,100.35690999999998,27.335636666666673,27.092556666666667,26.227279999999997,26.09747333333333,25.769233333333332,25.682930000000002,1.42533e+08 (um^2),1.08614e-07 (J/cycle),8.31142e-08 (J/cycle),2.55002e-08 (J/cycle),4.25004e-10 (J/cycle),7.12664e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,8,4,8,oe_3d,thermal,random,0.03,95.61177333333332,94.25860333333334,26.848460000000003,26.649156666666666,26.044520000000002,25.935436666666668,25.695586666666667,25.62070333333333,1.42533e+08 (um^2),9.83108e-08 (J/cycle),7.69776e-08 (J/cycle),2.13332e-08 (J/cycle),3.55553e-10 (J/cycle),7.12664e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
