dimx,dimy,dimz,buffer_size,packet_size_min,packet_size_max,routing_type,selection_strategy,traffic_type,injection_rate,steady_state_temp_L0,steady_state_temp_L1,router_avg_temp_L0,router_avg_temp_L1,core_avg_temp_L0,core_avg_temp_L1,mem_avg_temp_L0,mem_avg_temp_L1,total_area,avg_power,avg_cores_power,avg_routers_power,avg_power_per_router,layer_area,area_per_core
3,2,2,10,4,8,fullyadaptive,thermal,random,0.05,81.7911333333333,79.99645,27.2264833333333,27.01695,26.8285,26.65145,25.8406166666667,25.7513,2.85936e+07 (um^2),2.80305e-08 (J/cycle),2.28651e-08 (J/cycle),5.16544e-09 (J/cycle),4.30454e-10 (J/cycle),1.42968e+07 (um^2),4.69523e+06 (um^2)
3,2,2,10,4,8,fullyadaptive,thermal,random,0.06,67.5726333333333,66.4779833333333,26.2559,26.1098333333333,25.99345,25.8816,25.6724666666667,25.5991666666667,2.85936e+07 (um^2),1.78802e-08 (J/cycle),1.49147e-08 (J/cycle),2.96553e-09 (J/cycle),2.47128e-10 (J/cycle),1.42968e+07 (um^2),4.69523e+06 (um^2)
3,2,2,10,4,8,fullyadaptive,thermal,random,0.07,64.07155,63.15325,26.0145833333333,25.9065666666667,25.8061666666667,25.7225833333333,25.6217666666667,25.5566666666667,2.85936e+07 (um^2),1.54365e-08 (J/cycle),1.29991e-08 (J/cycle),2.43744e-09 (J/cycle),2.0312e-10 (J/cycle),1.42968e+07 (um^2),4.69523e+06 (um^2)
3,2,2,10,4,8,fullyadaptive,thermal,random,0.08,63.72995,62.8258833333333,26.0191166666667,25.9038833333333,25.8044666666667,25.7196833333333,25.6316,25.5644166666667,2.85936e+07 (um^2),1.5159e-08 (J/cycle),1.2782e-08 (J/cycle),2.37694e-09 (J/cycle),1.98078e-10 (J/cycle),1.42968e+07 (um^2),4.69523e+06 (um^2)
3,2,2,10,4,8,fullyadaptive,thermal,random,0.09,63.53465,62.6366833333333,25.9945,25.8759833333333,25.7852666666667,25.7036166666667,25.62055,25.5553666666667,2.85936e+07 (um^2),1.50531e-08 (J/cycle),1.26824e-08 (J/cycle),2.37063e-09 (J/cycle),1.97552e-10 (J/cycle),1.42968e+07 (um^2),4.69523e+06 (um^2)
3,2,2,10,4,8,fullyadaptive,thermal,random,0.1,63.3639333333333,62.49415,25.9470166666667,25.8751166666667,25.78,25.6996166666667,25.6150166666667,25.5508666666667,2.85936e+07 (um^2),1.50667e-08 (J/cycle),1.27103e-08 (J/cycle),2.3564e-09 (J/cycle),1.96367e-10 (J/cycle),1.42968e+07 (um^2),4.69523e+06 (um^2)
3,3,2,8,4,8,fullyadaptive,thermal,random,0.01,69.6399111111111,68.5859777777778,26.2429333333333,26.1162222222222,25.993,25.8898777777778,25.6717222222222,25.6000777777778,4.27599e+07 (um^2),2.63595e-08 (J/cycle),2.20694e-08 (J/cycle),4.29005e-09 (J/cycle),2.38336e-10 (J/cycle),2.13799e+07 (um^2),4.69523e+06 (um^2)
3,3,2,8,4,8,fullyadaptive,thermal,random,0.02,73.9684333333333,72.7200888888889,26.5030444444444,26.3551444444444,26.1752777777778,26.0528111111111,25.6993777777778,25.625,4.27599e+07 (um^2),3.03852e-08 (J/cycle),2.51061e-08 (J/cycle),5.27911e-09 (J/cycle),2.93284e-10 (J/cycle),2.13799e+07 (um^2),4.69523e+06 (um^2)
3,3,2,8,4,8,fullyadaptive,thermal,random,0.03,73.9479555555556,72.6964666666667,26.5923111111111,26.4043111111111,26.2165444444444,26.0767888888889,25.7459333333333,25.6613333333333,4.27599e+07 (um^2),3.03008e-08 (J/cycle),2.49922e-08 (J/cycle),5.30854e-09 (J/cycle),2.94919e-10 (J/cycle),2.13799e+07 (um^2),4.69523e+06 (um^2)
3,3,2,8,4,8,fullyadaptive,thermal,random,0.04,66.6290222222222,65.7077555555556,26.0397,25.9326,25.8091111111111,25.7231111111111,25.6216,25.5562777777778,4.27599e+07 (um^2),2.33574e-08 (J/cycle),1.96587e-08 (J/cycle),3.69863e-09 (J/cycle),2.0548e-10 (J/cycle),2.13799e+07 (um^2),4.69523e+06 (um^2)
